date,amount,category,description,payment_method,is_fixed,memo,year,month
2023-02-21,19202,식비,배달,카드,False,,2023,2
2023-02-01,5853,식비,외식,카드,False,,2023,2
2023-02-25,2884,교통비,지하철,카드,False,,2023,2
2023-02-06,12506,쇼핑,의류,간편결제,False,,2023,2
2023-02-04,2735,교통비,버스,카드,False,,2023,2
2023-02-19,11149,식비,외식,카드,False,,2023,2
2023-02-19,2964,교통비,지하철,카드,False,,2023,2
2023-03-26,7691,쇼핑,의류,카드,False,,2023,3
2023-03-22,13142,기타,기타 지출,카드,False,,2023,3
2023-03-01,14764,기타,기타 지출,카드,False,,2023,3
2023-03-20,3300,교통비,버스,카드,False,,2023,3
2023-03-15,15272,기타,기타 지출,간편결제,False,,2023,3
2023-03-11,9044,기타,기타 지출,카드,False,,2023,3
2023-03-08,42345,쇼핑,의류,간편결제,False,,2023,3
2023-03-09,23105,쇼핑,의류,간편결제,False,,2023,3
2023-03-16,3300,교통비,버스,카드,False,,2023,3
2023-03-23,16600,기타,기타 지출,간편결제,False,,2023,3
2023-03-22,3300,교통비,버스,카드,False,,2023,3
2023-03-16,19136,기타,기타 지출,카드,False,,2023,3
2023-03-24,28056,쇼핑,의류,간편결제,False,,2023,3
2023-03-04,25679,쇼핑,의류,카드,False,,2023,3
2023-03-07,8090,기타,기타 지출,간편결제,False,,2023,3
2023-03-04,7360,기타,기타 지출,카드,False,,2023,3
2023-03-06,3300,교통비,버스,카드,False,,2023,3
2023-03-23,22977,쇼핑,의류,카드,False,,2023,3
2023-03-10,7068,식비,카페,간편결제,False,,2023,3
2023-03-10,12216,식비,카페,카드,False,,2023,3
2023-03-09,3300,교통비,지하철,카드,False,,2023,3
2023-03-05,9978,식비,배달,카드,False,,2023,3
2023-03-18,3115,교통비,지하철,카드,False,,2023,3
2023-03-15,15507,기타,기타 지출,카드,False,,2023,3
2023-03-10,19632,기타,기타 지출,카드,False,,2023,3
2023-03-31,17496,식비,카페,카드,False,,2023,3
2023-03-22,3300,교통비,버스,카드,False,,2023,3
2023-03-01,16294,식비,배달,간편결제,False,,2023,3
2023-03-23,3300,교통비,버스,카드,False,,2023,3
2023-03-03,22337,쇼핑,의류,간편결제,False,,2023,3
2023-03-14,4760,기타,기타 지출,카드,False,,2023,3
2023-03-30,3300,교통비,지하철,카드,False,,2023,3
2023-03-15,3635,기타,기타 지출,카드,False,,2023,3
2023-03-25,9831,기타,기타 지출,카드,False,,2023,3
2023-03-16,12245,식비,배달,카드,False,,2023,3
2023-03-21,3300,교통비,버스,카드,False,,2023,3
2023-03-11,13117,식비,배달,카드,False,,2023,3
2023-03-14,2776,기타,기타 지출,카드,False,,2023,3
2023-03-20,17334,기타,기타 지출,간편결제,False,,2023,3
2023-03-23,6189,기타,기타 지출,카드,False,,2023,3
2023-03-18,14369,기타,기타 지출,카드,False,,2023,3
2023-03-15,3300,교통비,지하철,카드,False,,2023,3
2023-03-14,35947,쇼핑,의류,카드,False,,2023,3
2023-03-28,3300,교통비,지하철,카드,False,,2023,3
2023-03-25,11798,식비,외식,카드,False,,2023,3
2023-03-27,1084,기타,기타 지출,카드,False,,2023,3
2023-03-12,11893,기타,기타 지출,카드,False,,2023,3
2023-03-15,11544,기타,기타 지출,카드,False,,2023,3
2023-03-08,3300,교통비,버스,카드,False,,2023,3
2023-03-31,3300,교통비,버스,카드,False,,2023,3
2023-03-17,10439,식비,배달,카드,False,,2023,3
2023-03-28,3300,교통비,버스,카드,False,,2023,3
2023-03-16,3300,교통비,지하철,카드,False,,2023,3
2023-03-20,47587,쇼핑,의류,카드,False,,2023,3
2023-04-11,36978,쇼핑,의류,간편결제,False,,2023,4
2023-04-23,12269,식비,카페,카드,False,,2023,4
2023-04-17,3300,교통비,지하철,카드,False,,2023,4
2023-04-20,3300,교통비,지하철,카드,False,,2023,4
2023-04-08,16110,기타,기타 지출,간편결제,False,,2023,4
2023-04-09,35490,쇼핑,의류,카드,False,,2023,4
2023-04-03,15474,기타,기타 지출,카드,False,,2023,4
2023-04-21,14903,기타,기타 지출,간편결제,False,,2023,4
2023-04-19,3300,교통비,버스,카드,False,,2023,4
2023-04-30,17276,기타,기타 지출,카드,False,,2023,4
2023-04-08,2853,교통비,버스,카드,False,,2023,4
2023-04-22,3097,교통비,버스,카드,False,,2023,4
2023-04-29,2835,교통비,지하철,카드,False,,2023,4
2023-04-26,14495,식비,외식,카드,False,,2023,4
2023-04-30,2154,교통비,지하철,카드,False,,2023,4
2023-04-17,17442,기타,기타 지출,카드,False,,2023,4
2023-04-30,2536,교통비,버스,카드,False,,2023,4
2023-04-25,19092,식비,배달,간편결제,False,,2023,4
2023-04-15,13077,기타,기타 지출,간편결제,False,,2023,4
2023-04-27,29344,쇼핑,의류,카드,False,,2023,4
2023-04-01,2818,교통비,버스,카드,False,,2023,4
2023-04-30,8253,기타,기타 지출,간편결제,False,,2023,4
2023-04-27,16486,식비,카페,카드,False,,2023,4
2023-04-10,6902,식비,배달,카드,False,,2023,4
2023-04-13,3300,교통비,지하철,카드,False,,2023,4
2023-04-19,6063,기타,기타 지출,카드,False,,2023,4
2023-04-20,9583,식비,외식,카드,False,,2023,4
2023-04-04,3300,교통비,버스,카드,False,,2023,4
2023-04-28,3300,교통비,지하철,카드,False,,2023,4
2023-04-02,3161,교통비,지하철,카드,False,,2023,4
2023-04-05,18448,쇼핑,의류,카드,False,,2023,4
2023-04-19,8076,기타,기타 지출,카드,False,,2023,4
2023-04-26,5185,쇼핑,의류,카드,False,,2023,4
2023-04-18,3300,교통비,지하철,카드,False,,2023,4
2023-04-04,6689,쇼핑,의류,카드,False,,2023,4
2023-04-26,14647,식비,외식,카드,False,,2023,4
2023-04-15,13408,식비,외식,간편결제,False,,2023,4
2023-04-24,18086,기타,기타 지출,카드,False,,2023,4
2023-04-23,6204,식비,외식,카드,False,,2023,4
2023-04-13,18385,기타,기타 지출,카드,False,,2023,4
2023-04-21,14033,식비,카페,간편결제,False,,2023,4
2023-04-15,2017,교통비,버스,카드,False,,2023,4
2023-04-05,36081,쇼핑,의류,카드,False,,2023,4
2023-04-03,17199,식비,배달,간편결제,False,,2023,4
2023-04-22,5005,기타,기타 지출,카드,False,,2023,4
2023-04-28,8371,쇼핑,의류,카드,False,,2023,4
2023-04-12,4394,기타,기타 지출,카드,False,,2023,4
2023-04-05,16800,기타,기타 지출,카드,False,,2023,4
2023-04-28,6882,식비,외식,간편결제,False,,2023,4
2023-04-20,9763,기타,기타 지출,카드,False,,2023,4
2023-04-23,3111,교통비,버스,카드,False,,2023,4
2023-04-03,3300,교통비,버스,카드,False,,2023,4
2023-04-03,3300,교통비,지하철,카드,False,,2023,4
2023-04-13,14757,기타,기타 지출,카드,False,,2023,4
2023-04-22,1717,교통비,지하철,카드,False,,2023,4
2023-05-14,9951,기타,기타 지출,카드,False,,2023,5
2023-05-12,15087,기타,기타 지출,카드,False,,2023,5
2023-05-17,7976,쇼핑,의류,카드,False,,2023,5
2023-05-31,3300,교통비,버스,카드,False,,2023,5
2023-05-25,3300,교통비,지하철,카드,False,,2023,5
2023-05-18,3300,교통비,버스,카드,False,,2023,5
2023-05-03,3300,교통비,버스,카드,False,,2023,5
2023-05-26,35152,쇼핑,의류,간편결제,False,,2023,5
2023-05-14,20945,쇼핑,의류,카드,False,,2023,5
2023-05-17,3577,기타,기타 지출,카드,False,,2023,5
2023-05-17,3300,교통비,지하철,카드,False,,2023,5
2023-05-24,47299,쇼핑,의류,카드,False,,2023,5
2023-05-05,3300,교통비,지하철,카드,False,,2023,5
2023-05-06,47959,쇼핑,의류,카드,False,,2023,5
2023-05-15,3300,교통비,버스,카드,False,,2023,5
2023-05-22,19497,기타,기타 지출,간편결제,False,,2023,5
2023-05-28,11359,기타,기타 지출,카드,False,,2023,5
2023-05-12,25342,쇼핑,의류,카드,False,,2023,5
2023-05-03,10917,쇼핑,의류,간편결제,False,,2023,5
2023-05-15,19163,기타,기타 지출,간편결제,False,,2023,5
2023-05-30,15679,식비,외식,카드,False,,2023,5
2023-05-04,18719,식비,외식,카드,False,,2023,5
2023-05-15,3300,교통비,버스,카드,False,,2023,5
2023-05-12,13217,기타,기타 지출,카드,False,,2023,5
2023-05-26,26931,쇼핑,의류,카드,False,,2023,5
2023-05-18,23621,쇼핑,의류,카드,False,,2023,5
2023-05-11,3670,기타,기타 지출,카드,False,,2023,5
2023-05-10,3300,교통비,버스,카드,False,,2023,5
2023-05-22,49919,쇼핑,의류,간편결제,False,,2023,5
2023-05-22,10928,식비,카페,카드,False,,2023,5
2023-05-06,27395,쇼핑,의류,간편결제,False,,2023,5
2023-05-03,3300,교통비,지하철,카드,False,,2023,5
2023-05-17,39506,쇼핑,의류,카드,False,,2023,5
2023-05-27,2968,교통비,지하철,카드,False,,2023,5
2023-05-24,15341,기타,기타 지출,카드,False,,2023,5
2023-05-20,2133,교통비,버스,카드,False,,2023,5
2023-05-31,3300,교통비,버스,카드,False,,2023,5
2023-05-15,10233,기타,기타 지출,간편결제,False,,2023,5
2023-05-26,3300,교통비,지하철,카드,False,,2023,5
2023-05-28,9192,기타,기타 지출,카드,False,,2023,5
2023-05-28,7042,식비,카페,카드,False,,2023,5
2023-05-09,13410,식비,배달,카드,False,,2023,5
2023-05-29,3300,교통비,버스,카드,False,,2023,5
2023-05-08,13653,기타,기타 지출,카드,False,,2023,5
2023-05-02,3300,교통비,지하철,카드,False,,2023,5
2023-05-23,35743,쇼핑,의류,카드,False,,2023,5
2023-05-29,3596,기타,기타 지출,카드,False,,2023,5
2023-05-04,10440,기타,기타 지출,카드,False,,2023,5
2023-05-03,4632,기타,기타 지출,카드,False,,2023,5
2023-05-21,17887,기타,기타 지출,카드,False,,2023,5
2023-05-10,3300,교통비,지하철,카드,False,,2023,5
2023-05-13,16405,기타,기타 지출,카드,False,,2023,5
2023-05-25,3300,교통비,지하철,카드,False,,2023,5
2023-05-05,2452,기타,기타 지출,카드,False,,2023,5
2023-06-27,6737,기타,기타 지출,간편결제,False,,2023,6
2023-06-03,3016,교통비,지하철,카드,False,,2023,6
2023-06-26,3300,교통비,지하철,카드,False,,2023,6
2023-06-11,2185,교통비,지하철,카드,False,,2023,6
2023-06-27,18794,기타,기타 지출,카드,False,,2023,6
2023-06-25,23750,쇼핑,의류,카드,False,,2023,6
2023-06-23,3300,교통비,버스,카드,False,,2023,6
2023-06-26,3707,기타,기타 지출,간편결제,False,,2023,6
2023-06-18,10626,기타,기타 지출,카드,False,,2023,6
2023-06-11,10021,식비,배달,카드,False,,2023,6
2023-06-06,15545,기타,기타 지출,카드,False,,2023,6
2023-06-09,8759,쇼핑,의류,카드,False,,2023,6
2023-06-05,3300,교통비,지하철,카드,False,,2023,6
2023-06-02,5136,기타,기타 지출,카드,False,,2023,6
2023-06-12,3300,교통비,버스,카드,False,,2023,6
2023-06-12,3300,교통비,버스,카드,False,,2023,6
2023-06-13,3300,교통비,버스,카드,False,,2023,6
2023-06-08,6698,쇼핑,의류,간편결제,False,,2023,6
2023-06-17,2342,교통비,버스,카드,False,,2023,6
2023-06-09,9529,기타,기타 지출,간편결제,False,,2023,6
2023-06-06,12292,식비,외식,카드,False,,2023,6
2023-06-29,10828,기타,기타 지출,카드,False,,2023,6
2023-06-17,2009,교통비,버스,카드,False,,2023,6
2023-06-15,19076,기타,기타 지출,카드,False,,2023,6
2023-06-03,11134,기타,기타 지출,카드,False,,2023,6
2023-06-05,19065,기타,기타 지출,간편결제,False,,2023,6
2023-06-25,5228,기타,기타 지출,카드,False,,2023,6
2023-06-27,5068,기타,기타 지출,카드,False,,2023,6
2023-06-06,3300,교통비,버스,카드,False,,2023,6
2023-06-30,3300,교통비,버스,카드,False,,2023,6
2023-06-17,2131,교통비,버스,카드,False,,2023,6
2023-06-07,14024,식비,외식,카드,False,,2023,6
2023-06-20,3300,교통비,버스,카드,False,,2023,6
2023-06-17,6525,기타,기타 지출,카드,False,,2023,6
2023-06-06,12063,기타,기타 지출,카드,False,,2023,6
2023-06-21,7907,기타,기타 지출,간편결제,False,,2023,6
2023-06-20,1992,기타,기타 지출,카드,False,,2023,6
2023-06-21,10899,기타,기타 지출,카드,False,,2023,6
2023-06-10,2478,교통비,버스,카드,False,,2023,6
2023-06-20,3300,교통비,버스,카드,False,,2023,6
2023-06-28,3300,교통비,버스,카드,False,,2023,6
2023-06-10,19158,식비,배달,간편결제,False,,2023,6
2023-06-30,3300,교통비,버스,카드,False,,2023,6
2023-06-07,6221,기타,기타 지출,카드,False,,2023,6
2023-06-16,11110,기타,기타 지출,카드,False,,2023,6
2023-06-13,8944,식비,배달,카드,False,,2023,6
2023-06-02,2656,기타,기타 지출,카드,False,,2023,6
2023-06-28,4522,기타,기타 지출,카드,False,,2023,6
2023-06-24,2299,교통비,버스,카드,False,,2023,6
2023-06-12,19128,기타,기타 지출,카드,False,,2023,6
2023-06-17,14008,식비,외식,카드,False,,2023,6
2023-06-05,4168,기타,기타 지출,카드,False,,2023,6
2023-06-18,14454,쇼핑,의류,카드,False,,2023,6
2023-06-17,2319,기타,기타 지출,카드,False,,2023,6
2023-06-11,11437,기타,기타 지출,카드,False,,2023,6
2023-06-23,36122,쇼핑,의류,카드,False,,2023,6
2023-07-24,2682,기타,기타 지출,카드,False,,2023,7
2023-07-17,149832,미용/관리,미용실,카드,False,,2023,7
2023-07-02,2722,교통비,지하철,카드,False,,2023,7
2023-07-01,11861,식비,배달,카드,False,,2023,7
2023-07-14,165774,미용/관리,미용실,카드,False,,2023,7
2023-07-28,3040,기타,기타 지출,간편결제,False,,2023,7
2023-07-18,3300,교통비,지하철,카드,False,,2023,7
2023-07-30,2641,교통비,버스,카드,False,,2023,7
2023-07-22,49613,쇼핑,의류,간편결제,False,,2023,7
2023-07-07,23284,쇼핑,의류,간편결제,False,,2023,7
2023-07-31,24504,쇼핑,의류,간편결제,False,,2023,7
2023-07-23,25777,쇼핑,의류,간편결제,False,,2023,7
2023-07-29,13928,기타,기타 지출,카드,False,,2023,7
2023-07-02,2139,교통비,버스,카드,False,,2023,7
2023-07-30,9201,식비,외식,간편결제,False,,2023,7
2023-07-07,170592,미용/관리,미용실,카드,False,,2023,7
2023-07-08,2663,기타,기타 지출,간편결제,False,,2023,7
2023-07-21,8629,기타,기타 지출,카드,False,,2023,7
2023-07-11,6647,식비,외식,간편결제,False,,2023,7
2023-07-31,3300,교통비,지하철,카드,False,,2023,7
2023-07-14,16587,기타,기타 지출,카드,False,,2023,7
2023-07-11,3300,교통비,버스,카드,False,,2023,7
2023-07-30,47749,쇼핑,의류,간편결제,False,,2023,7
2023-07-30,1908,교통비,지하철,카드,False,,2023,7
2023-07-30,104763,미용/관리,미용실,카드,False,,2023,7
2023-07-06,137941,미용/관리,미용실,카드,False,,2023,7
2023-07-10,6758,식비,배달,카드,False,,2023,7
2023-07-21,37369,쇼핑,의류,카드,False,,2023,7
2023-07-09,7318,기타,기타 지출,카드,False,,2023,7
2023-07-01,24334,쇼핑,의류,간편결제,False,,2023,7
2023-07-20,3300,교통비,지하철,카드,False,,2023,7
2023-07-17,142982,미용/관리,미용실,카드,False,,2023,7
2023-07-11,3300,교통비,버스,카드,False,,2023,7
2023-07-09,2335,교통비,지하철,카드,False,,2023,7
2023-07-25,3300,교통비,버스,카드,False,,2023,7
2023-07-10,42544,쇼핑,의류,카드,False,,2023,7
2023-07-23,4847,기타,기타 지출,간편결제,False,,2023,7
2023-07-05,3300,교통비,버스,카드,False,,2023,7
2023-07-14,171989,미용/관리,미용실,카드,False,,2023,7
2023-07-25,132435,미용/관리,미용실,카드,False,,2023,7
2023-07-17,15639,기타,기타 지출,카드,False,,2023,7
2023-07-30,9047,쇼핑,의류,간편결제,False,,2023,7
2023-07-19,18585,기타,기타 지출,카드,False,,2023,7
2023-07-28,3300,교통비,버스,카드,False,,2023,7
2023-07-04,7730,기타,기타 지출,간편결제,False,,2023,7
2023-07-03,17723,기타,기타 지출,카드,False,,2023,7
2023-07-05,12484,식비,외식,간편결제,False,,2023,7
2023-07-15,10049,식비,카페,간편결제,False,,2023,7
2023-07-09,17219,식비,외식,카드,False,,2023,7
2023-07-02,14883,기타,기타 지출,카드,False,,2023,7
2023-07-02,6130,식비,카페,카드,False,,2023,7
2023-07-12,3300,교통비,버스,카드,False,,2023,7
2023-07-28,149479,미용/관리,미용실,카드,False,,2023,7
2023-07-22,170687,미용/관리,미용실,카드,False,,2023,7
2023-07-04,3300,교통비,버스,카드,False,,2023,7
2023-07-17,3300,교통비,버스,카드,False,,2023,7
2023-07-27,3300,교통비,지하철,카드,False,,2023,7
2023-07-10,16781,식비,배달,카드,False,,2023,7
2023-07-27,130102,미용/관리,미용실,카드,False,,2023,7
2023-07-12,3300,교통비,버스,카드,False,,2023,7
2023-07-07,3300,교통비,버스,카드,False,,2023,7
2023-07-26,15074,식비,배달,간편결제,False,,2023,7
2023-07-15,2595,기타,기타 지출,카드,False,,2023,7
2023-07-05,3300,교통비,지하철,카드,False,,2023,7
2023-07-08,19877,기타,기타 지출,카드,False,,2023,7
2023-07-08,10888,기타,기타 지출,카드,False,,2023,7
2023-07-14,10846,기타,기타 지출,카드,False,,2023,7
2023-07-31,17045,식비,카페,카드,False,,2023,7
2023-07-02,145143,미용/관리,미용실,카드,False,,2023,7
2023-07-23,154568,미용/관리,미용실,카드,False,,2023,7
2023-07-10,149343,미용/관리,미용실,카드,False,,2023,7
2023-07-08,2011,교통비,버스,카드,False,,2023,7
2023-07-14,14130,식비,카페,카드,False,,2023,7
2023-07-08,2072,교통비,버스,카드,False,,2023,7
2023-07-21,3300,교통비,버스,카드,False,,2023,7
2023-07-02,9796,기타,기타 지출,카드,False,,2023,7
2023-08-28,3384,기타,기타 지출,카드,False,,2023,8
2023-08-16,7844,기타,기타 지출,카드,False,,2023,8
2023-08-07,12688,쇼핑,의류,간편결제,False,,2023,8
2023-08-13,8842,기타,기타 지출,카드,False,,2023,8
2023-08-11,3300,교통비,버스,카드,False,,2023,8
2023-08-01,3300,교통비,지하철,카드,False,,2023,8
2023-08-13,21104,쇼핑,의류,간편결제,False,,2023,8
2023-08-09,17011,기타,기타 지출,간편결제,False,,2023,8
2023-08-05,37002,쇼핑,의류,카드,False,,2023,8
2023-08-17,2108,기타,기타 지출,카드,False,,2023,8
2023-08-23,3300,교통비,지하철,카드,False,,2023,8
2023-08-07,3300,교통비,지하철,카드,False,,2023,8
2023-08-12,2980,기타,기타 지출,카드,False,,2023,8
2023-08-22,16986,기타,기타 지출,카드,False,,2023,8
2023-08-18,5274,식비,카페,카드,False,,2023,8
2023-08-01,49173,쇼핑,의류,카드,False,,2023,8
2023-08-30,3300,교통비,지하철,카드,False,,2023,8
2023-08-27,12614,기타,기타 지출,카드,False,,2023,8
2023-08-10,3300,교통비,지하철,카드,False,,2023,8
2023-08-28,5519,식비,카페,카드,False,,2023,8
2023-08-02,1309,기타,기타 지출,간편결제,False,,2023,8
2023-08-16,3300,교통비,지하철,카드,False,,2023,8
2023-08-09,3300,교통비,버스,카드,False,,2023,8
2023-08-22,19734,식비,배달,카드,False,,2023,8
2023-08-06,11305,기타,기타 지출,카드,False,,2023,8
2023-08-25,3300,교통비,지하철,카드,False,,2023,8
2023-08-19,2346,교통비,지하철,카드,False,,2023,8
2023-08-13,5585,기타,기타 지출,간편결제,False,,2023,8
2023-08-24,5879,식비,카페,카드,False,,2023,8
2023-08-20,14758,식비,외식,카드,False,,2023,8
2023-08-03,10678,기타,기타 지출,카드,False,,2023,8
2023-08-11,3300,교통비,버스,카드,False,,2023,8
2023-08-12,11699,쇼핑,의류,카드,False,,2023,8
2023-08-14,14088,식비,배달,카드,False,,2023,8
2023-08-28,13623,기타,기타 지출,카드,False,,2023,8
2023-08-13,41669,쇼핑,의류,카드,False,,2023,8
2023-08-22,13475,기타,기타 지출,카드,False,,2023,8
2023-08-10,3300,교통비,버스,카드,False,,2023,8
2023-08-24,43915,쇼핑,의류,간편결제,False,,2023,8
2023-08-04,3300,교통비,버스,카드,False,,2023,8
2023-08-01,3300,교통비,버스,카드,False,,2023,8
2023-08-26,11798,기타,기타 지출,카드,False,,2023,8
2023-08-27,47666,쇼핑,의류,간편결제,False,,2023,8
2023-08-11,3300,교통비,버스,카드,False,,2023,8
2023-08-16,11295,기타,기타 지출,카드,False,,2023,8
2023-08-19,18879,기타,기타 지출,카드,False,,2023,8
2023-08-31,16126,기타,기타 지출,간편결제,False,,2023,8
2023-08-26,2146,교통비,버스,카드,False,,2023,8
2023-08-22,15376,식비,외식,카드,False,,2023,8
2023-08-22,3300,교통비,버스,카드,False,,2023,8
2023-08-26,2322,교통비,버스,카드,False,,2023,8
2023-08-20,11566,식비,외식,카드,False,,2023,8
2023-08-18,2204,기타,기타 지출,카드,False,,2023,8
2023-08-04,9134,기타,기타 지출,간편결제,False,,2023,8
2023-08-21,41911,쇼핑,의류,간편결제,False,,2023,8
2023-08-08,13499,식비,외식,간편결제,False,,2023,8
2023-09-15,13259,기타,기타 지출,카드,False,,2023,9
2023-09-27,7321,식비,배달,카드,False,,2023,9
2023-09-15,39151,쇼핑,의류,간편결제,False,,2023,9
2023-09-26,6480,쇼핑,의류,카드,False,,2023,9
2023-09-18,3300,교통비,지하철,카드,False,,2023,9
2023-09-18,3300,교통비,버스,카드,False,,2023,9
2023-09-15,15075,기타,기타 지출,카드,False,,2023,9
2023-09-04,13796,식비,카페,카드,False,,2023,9
2023-09-17,25539,쇼핑,의류,간편결제,False,,2023,9
2023-09-12,15114,식비,외식,카드,False,,2023,9
2023-09-19,13573,기타,기타 지출,카드,False,,2023,9
